#Druck/mbar U/V Fehler/V
0.12  2.66  0.5
10.7  2.50  0.6
20.5  2.40  0.6
32.3  2.30  0.6
40.8  2.16  0.6
50.7  2.00  0.7
61.2  1.88  0.6
72.0  1.74  0.6
82.3  1.70  0.7
92.2  1.58  0.7
100.7 1.50  0.7
111.0 1.38  0.8
122.0 1.16  0.5
131.3 1.04  0.5
142.9 0.91  0.5
150.7 0.76  0.3
160.9 0.72  0.3
172.7 0.68  0.3
198.0 0.40  0.2
